Date,Team,Opponent,Moneyline,Model,Profit,EV,Bet size,Time,Results
2/11/21,ORL,GSW,300.0,0.31,6.0,0.48,2,00:00.0,0.0
2/11/21,POR,PHI,175.0,0.39,3.5,0.15,2,00:00.0,1.0
2/12/21,POR,CLE,-185.0,0.74,2.16,0.56,4,00:00.0,1.0
2/12/21,UTA,MIL,-145.0,0.68,2.76,0.6,4,00:00.0,1.0
2/12/21,ATL,SAS,-145.0,0.63,1.38,0.13,2,00:00.0,0.0
2/13/21,UTA,MIA,-250.0,0.76,0.8,0.13,2,00:00.0,1.0
2/14/21,OKC,MIL,475.0,0.26,9.5,0.99,2,00:00.0,1.0
2/14/21,DEN,LAL,120.0,0.59,2.4,0.6,2,00:00.0,1.0
2/14/21,DET,NOP,145.0,0.47,2.9,0.3,2,00:00.0,1.0
2/14/21,ORL,PHO,390.0,0.23,7.8,0.25,2,00:00.0,0.0
2/14/21,BOS,WAS,-135.0,0.69,1.48,0.4,2,00:00.0,0.0
2/14/21,DEN,LAL,125.0,0.59,2.5,0.66,2,00:00.0,1.0
2/15/21,WAS,HOU,-105.0,0.58,1.9,0.26,2,00:00.0,1.0
2/15/21,IND,CHI,-222.0,0.76,0.9,0.2,2,00:00.0,0.0
2/15/21,UTA,PHI,-370.0,0.76,0.54,-0.07,2,00:00.0,1.0
2/16/21,MIN,LAL,195.0,0.42,3.9,0.48,2,00:00.0,0.0
2/16/21,OKC,POR,160.0,0.44,3.2,0.29,2,00:00.0,0.0
2/16/21,MIN,LAL,205.0,0.42,4.1,0.56,2,00:00.0,0.0
2/17/21,ORL,NYK,120.0,0.6,2.4,0.64,2,00:00.0,1.0
2/17/21,MIN,IND,160.0,0.47,3.2,0.44,2,00:00.0,0.0
2/17/21,DEN,WAS,-175.0,0.58,1.14,-0.18,2,00:00.0,0.0
2/18/21,MIA,SAC,-118.0,0.44,1.69,-0.37,2,00:00.0,1.0
2/18/21,TOR,MIL,185.0,0.36,3.7,0.05,2,00:00.0,1.0
2/18/21,BKN,LAL,115.0,0.38,2.3,-0.37,2,00:00.0,1.0
2/19/21,ORL,GSW,135.0,0.59,5.4,1.55,4,00:00.0,1.0
2/19/21,ORL,GSW,145.0,0.59,2.9,0.89,2,00:00.0,1.0
2/19/21,LAC,UTA,155.0,0.5,3.1,0.55,2,00:00.0,1.0
2/19/21,NOP,PHO,125.0,0.5,2.5,0.25,2,00:00.0,0.0
2/19/21,MIN,TOR,130.0,0.46,2.6,0.12,2,00:00.0,0.0
2/20/21,CHA,GSW,100.0,0.57,2.0,0.28,2,00:00.0,0.0
2/20/21,MEM,PHO,205.0,0.36,4.1,0.2,2,00:00.0,0.0
2/20/21,POR,WAS,-200.0,0.74,1.0,0.22,2,00:00.0,1.0
2/21/21,ORL,DET,-145.0,0.72,1.38,0.43,2,00:00.0,1.0
2/21/21,NOP,BOS,110.0,0.53,2.2,0.23,2,00:00.0,1.0
2/21/21,TOR,PHI,120.0,0.54,2.4,0.38,2,00:00.0,1.0
2/21/21,TOR,PHI,115.0,0.54,2.3,0.32,2,00:00.0,1.0
2/21/21,BKN,LAC,195.0,0.27,3.9,-0.41,2,00:00.0,1.0
2/22/21,OKC,MIA,215.0,0.33,4.3,0.08,2,56:18.8,0.0
2/22/21,PHO,POR,-270.0,0.76,0.74,0.08,2,56:18.8,1.0
2/22/21,LAL,WAS,-303.0,0.77,0.66,0.05,2,56:18.8,0.0
2/23/21,ORL,DET,-185.0,0.72,1.08,0.22,2,45:10.9,0.0
2/23/21,DEN,POR,-270.0,0.81,0.74,0.22,2,45:10.9,1.0
2/23/21,TOR,PHI,-102.0,0.57,1.96,0.26,2,56:37.9,0.0
2/23/21,CLE,ATL,260.0,0.33,5.2,0.38,2,58:32.5,1.0
2/23/21,NYK,GSW,135.0,0.56,2.7,0.63,2,58:32.5,0.0
2/23/21,BKN,SAC,-270.0,0.78,0.74,0.14,2,58:32.5,1.0
2/24/21,IND,GSW,-145.0,0.68,1.38,0.3,2,11:45.0,0.0
2/24/21,OKC,SAS,-120.0,0.62,1.67,0.27,2,11:45.0,1.0
2/24/21,PHO,CHA,-500.0,0.85,0.4,0.04,2,11:45.0,0.0
2021-02-25,MEM,LAC,270.0,0.34,5.4,0.52,2,13:51:07.043301,1.0
2021-02-25,DEN,WAS,-370.0,0.84,0.54,0.13,2,13:51:07.043301,0.0
2021-02-25,BKN,ORL,-455.0,0.81,0.44,-0.02,2,19:19:25.028465,1.0
2021-02-25,MEM,LAC,270.0,0.33,5.4,0.44,2,19:28:30.413628,1.0
